2020-05-03 00:39:01,800 - root - INFO - Package version 0.1a0
2020-05-03 00:39:01,801 - root - INFO - Saving data at /vol/fob-vol1/mi15/plonerma/Lab/rewann/data/2020-05-03_Iris lognormal Distribution mean=1 sigma=4 run 4_000.
2020-05-03 00:39:02,188 - root - INFO - Starting evolutionary algorithm
2020-05-03 00:39:06,529 - root - INFO - Completed generation 1; 4.3s elapsed, 4.3s avg, 4.3s total. Expected time remaining: 8.6e+02s
2020-05-03 00:39:06,605 - root - INFO - #1 mean, min log_loss: 1.2, 1.1
2020-05-03 00:39:10,530 - root - INFO - Completed generation 2; 3.9s elapsed, 4.1s avg, 8.3s total. Expected time remaining: 8.2e+02s
2020-05-03 00:39:10,647 - root - INFO - #2 mean, min log_loss: 1.2, 1.1
2020-05-03 00:39:15,166 - root - INFO - Completed generation 3; 4.5s elapsed, 4.3s avg, 1.3e+01s total. Expected time remaining: 8.4e+02s
2020-05-03 00:39:15,285 - root - INFO - #3 mean, min log_loss: 1.1e+01, 1.1
2020-05-03 00:39:19,364 - root - INFO - Completed generation 4; 4.1s elapsed, 4.2s avg, 1.7e+01s total. Expected time remaining: 8.3e+02s
2020-05-03 00:39:19,504 - root - INFO - #4 mean, min log_loss: 1.1e+01, 1.1
2020-05-03 00:39:22,940 - root - INFO - Completed generation 5; 3.4s elapsed, 4.1s avg, 2e+01s total. Expected time remaining: 7.9e+02s
2020-05-03 00:39:23,054 - root - INFO - #5 mean, min log_loss: 1.4e+01, 0.98
2020-05-03 00:39:26,234 - root - INFO - Completed generation 6; 3.2s elapsed, 3.9s avg, 2.3e+01s total. Expected time remaining: 7.6e+02s
2020-05-03 00:39:26,350 - root - INFO - #6 mean, min log_loss: 1.2e+01, 0.98
2020-05-03 00:39:29,358 - root - INFO - Completed generation 7; 3.0s elapsed, 3.8s avg, 2.6e+01s total. Expected time remaining: 7.3e+02s
2020-05-03 00:39:29,481 - root - INFO - #7 mean, min log_loss: 1e+01, 0.98
2020-05-03 00:39:32,144 - root - INFO - Completed generation 8; 2.7s elapsed, 3.6s avg, 2.9e+01s total. Expected time remaining: 7e+02s
2020-05-03 00:39:32,257 - root - INFO - #8 mean, min log_loss: 2.3e+01, 0.98
2020-05-03 00:39:34,964 - root - INFO - Completed generation 9; 2.7s elapsed, 3.5s avg, 3.2e+01s total. Expected time remaining: 6.8e+02s
2020-05-03 00:39:35,075 - root - INFO - #9 mean, min log_loss: 2.3e+01, 0.98
2020-05-03 00:39:39,114 - root - INFO - Completed generation 10; 4.0s elapsed, 3.6s avg, 3.6e+01s total. Expected time remaining: 6.8e+02s
2020-05-03 00:39:39,184 - root - INFO - #10 mean, min log_loss: 5.6, 0.91
2020-05-03 00:39:41,916 - root - INFO - Completed generation 11; 2.7s elapsed, 3.5s avg, 3.9e+01s total. Expected time remaining: 6.6e+02s
2020-05-03 00:39:42,033 - root - INFO - #11 mean, min log_loss: 1.5e+01, 0.91
2020-05-03 00:39:44,987 - root - INFO - Completed generation 12; 3.0s elapsed, 3.5s avg, 4.2e+01s total. Expected time remaining: 6.5e+02s
2020-05-03 00:39:45,099 - root - INFO - #12 mean, min log_loss: 2e+01, 0.85
2020-05-03 00:39:48,708 - root - INFO - Completed generation 13; 3.6s elapsed, 3.5s avg, 4.5e+01s total. Expected time remaining: 6.5e+02s
2020-05-03 00:39:48,823 - root - INFO - #13 mean, min log_loss: 1.4e+01, 0.81
2020-05-03 00:39:52,734 - root - INFO - Completed generation 14; 3.9s elapsed, 3.5s avg, 4.9e+01s total. Expected time remaining: 6.5e+02s
2020-05-03 00:39:52,847 - root - INFO - #14 mean, min log_loss: 8.8, 0.72
2020-05-03 00:39:57,017 - root - INFO - Completed generation 15; 4.2s elapsed, 3.5s avg, 5.3e+01s total. Expected time remaining: 6.6e+02s
2020-05-03 00:39:57,187 - root - INFO - #15 mean, min log_loss: 1.4e+01, 0.66
2020-05-03 00:40:00,344 - root - INFO - Completed generation 16; 3.2s elapsed, 3.5s avg, 5.6e+01s total. Expected time remaining: 6.5e+02s
2020-05-03 00:40:00,455 - root - INFO - #16 mean, min log_loss: 1.6e+01, 0.66
2020-05-03 00:40:03,517 - root - INFO - Completed generation 17; 3.1s elapsed, 3.5s avg, 5.9e+01s total. Expected time remaining: 6.4e+02s
2020-05-03 00:40:03,631 - root - INFO - #17 mean, min log_loss: 5.5, 0.66
2020-05-03 00:40:07,592 - root - INFO - Completed generation 18; 4.0s elapsed, 3.5s avg, 6.3e+01s total. Expected time remaining: 6.4e+02s
2020-05-03 00:40:07,709 - root - INFO - #18 mean, min log_loss: 9.1, 0.66
2020-05-03 00:40:11,367 - root - INFO - Completed generation 19; 3.7s elapsed, 3.5s avg, 6.7e+01s total. Expected time remaining: 6.4e+02s
2020-05-03 00:40:11,486 - root - INFO - #19 mean, min log_loss: 1.4e+01, 0.66
2020-05-03 00:40:13,796 - root - INFO - Completed generation 20; 2.3s elapsed, 3.5s avg, 6.9e+01s total. Expected time remaining: 6.2e+02s
2020-05-03 00:40:13,917 - root - INFO - #20 mean, min log_loss: 1.9e+01, 0.66
2020-05-03 00:40:16,670 - root - INFO - Completed generation 21; 2.6s elapsed, 3.4s avg, 7.2e+01s total. Expected time remaining: 6.1e+02s
2020-05-03 00:40:16,789 - root - INFO - #21 mean, min log_loss: 1.4e+01, 0.66
2020-05-03 00:40:19,671 - root - INFO - Completed generation 22; 2.9s elapsed, 3.4s avg, 7.5e+01s total. Expected time remaining: 6.1e+02s
2020-05-03 00:40:19,786 - root - INFO - #22 mean, min log_loss: 1e+01, 0.66
2020-05-03 00:40:22,622 - root - INFO - Completed generation 23; 2.8s elapsed, 3.4s avg, 7.8e+01s total. Expected time remaining: 6e+02s
2020-05-03 00:40:22,731 - root - INFO - #23 mean, min log_loss: 1.1e+01, 0.66
2020-05-03 00:40:25,214 - root - INFO - Completed generation 24; 2.5s elapsed, 3.3s avg, 8e+01s total. Expected time remaining: 5.9e+02s
2020-05-03 00:40:25,284 - root - INFO - #24 mean, min log_loss: 1.6e+01, 0.66
2020-05-03 00:40:27,779 - root - INFO - Completed generation 25; 2.5s elapsed, 3.3s avg, 8.3e+01s total. Expected time remaining: 5.8e+02s
2020-05-03 00:40:27,892 - root - INFO - #25 mean, min log_loss: 7.6, 0.64
2020-05-03 00:40:29,797 - root - INFO - Completed generation 26; 1.9s elapsed, 3.3s avg, 8.5e+01s total. Expected time remaining: 5.7e+02s
2020-05-03 00:40:29,877 - root - INFO - #26 mean, min log_loss: 1.2e+01, 0.64
2020-05-03 00:40:31,157 - root - INFO - Completed generation 27; 1.3s elapsed, 3.2s avg, 8.6e+01s total. Expected time remaining: 5.5e+02s
2020-05-03 00:40:31,227 - root - INFO - #27 mean, min log_loss: 7.3, 0.64
2020-05-03 00:40:32,655 - root - INFO - Completed generation 28; 1.4s elapsed, 3.1s avg, 8.7e+01s total. Expected time remaining: 5.4e+02s
2020-05-03 00:40:32,726 - root - INFO - #28 mean, min log_loss: 1.9e+01, 0.64
2020-05-03 00:40:34,999 - root - INFO - Completed generation 29; 2.3s elapsed, 3.1s avg, 9e+01s total. Expected time remaining: 5.3e+02s
2020-05-03 00:40:35,105 - root - INFO - #29 mean, min log_loss: 1.1e+01, 0.64
2020-05-03 00:40:37,528 - root - INFO - Completed generation 30; 2.4s elapsed, 3.1s avg, 9.2e+01s total. Expected time remaining: 5.2e+02s
2020-05-03 00:40:37,639 - root - INFO - #30 mean, min log_loss: 1.9e+01, 0.61
