2020-05-01 23:22:12,354 - root - INFO - Package version 0.1a0
2020-05-01 23:22:12,354 - root - INFO - Saving data at /vol/fob-vol1/mi15/plonerma/Lab/rewann/data/2020-05-01_Iris Uniform Distribution [1, 17] run 4_000.
2020-05-01 23:22:12,521 - root - INFO - Starting evolutionary algorithm
2020-05-01 23:22:16,563 - root - INFO - Completed generation 1; 4.0s elapsed, 4.0s avg, 4.0s total. Expected time remaining: 8e+02s
2020-05-01 23:22:16,634 - root - INFO - #1 mean, min log_loss: 1.2, 1.1
2020-05-01 23:22:19,432 - root - INFO - Completed generation 2; 2.8s elapsed, 3.4s avg, 6.8s total. Expected time remaining: 6.8e+02s
2020-05-01 23:22:19,507 - root - INFO - #2 mean, min log_loss: 1.2, 1.1
2020-05-01 23:22:22,447 - root - INFO - Completed generation 3; 2.9s elapsed, 3.3s avg, 9.8s total. Expected time remaining: 6.4e+02s
2020-05-01 23:22:22,515 - root - INFO - #3 mean, min log_loss: 1.2, 1.1
2020-05-01 23:22:25,311 - root - INFO - Completed generation 4; 2.8s elapsed, 3.1s avg, 1.3e+01s total. Expected time remaining: 6.2e+02s
2020-05-01 23:22:25,378 - root - INFO - #4 mean, min log_loss: 1.2, 1.1
2020-05-01 23:22:28,645 - root - INFO - Completed generation 5; 3.3s elapsed, 3.2s avg, 1.6e+01s total. Expected time remaining: 6.2e+02s
2020-05-01 23:22:28,757 - root - INFO - #5 mean, min log_loss: 1.2, 1.1
2020-05-01 23:22:32,070 - root - INFO - Completed generation 6; 3.3s elapsed, 3.2s avg, 1.9e+01s total. Expected time remaining: 6.2e+02s
2020-05-01 23:22:32,138 - root - INFO - #6 mean, min log_loss: 1.2, 1.1
2020-05-01 23:22:35,211 - root - INFO - Completed generation 7; 3.1s elapsed, 3.2s avg, 2.2e+01s total. Expected time remaining: 6.1e+02s
2020-05-01 23:22:35,279 - root - INFO - #7 mean, min log_loss: 1.2, 1.1
2020-05-01 23:22:38,025 - root - INFO - Completed generation 8; 2.7s elapsed, 3.1s avg, 2.5e+01s total. Expected time remaining: 6e+02s
2020-05-01 23:22:38,095 - root - INFO - #8 mean, min log_loss: 1.2, 1.1
2020-05-01 23:22:41,135 - root - INFO - Completed generation 9; 3.0s elapsed, 3.1s avg, 2.8e+01s total. Expected time remaining: 5.9e+02s
2020-05-01 23:22:41,208 - root - INFO - #9 mean, min log_loss: 1.2, 1.1
2020-05-01 23:22:44,189 - root - INFO - Completed generation 10; 3.0s elapsed, 3.1s avg, 3.1e+01s total. Expected time remaining: 5.9e+02s
2020-05-01 23:22:44,258 - root - INFO - #10 mean, min log_loss: 1.2, 1.1
2020-05-01 23:22:47,526 - root - INFO - Completed generation 11; 3.2s elapsed, 3.1s avg, 3.4e+01s total. Expected time remaining: 5.9e+02s
